iter	MultiClass
0	1.326046379
1	1.270854634
2	1.217753339
3	1.180284412
4	1.130194404
5	1.087282816
6	1.047765025
7	1.015387787
8	0.9837861141
9	0.9485348859
10	0.9200898602
11	0.8972974238
12	0.8687242218
13	0.8419365419
14	0.8179793335
15	0.7956569706
16	0.7754008794
17	0.7562033675
18	0.7345857927
19	0.7134812377
20	0.6935117032
21	0.6766916075
22	0.6587511578
23	0.6439178298
24	0.6277077805
25	0.6121227335
26	0.5985729214
27	0.5880335596
28	0.5781698833
29	0.5658179093
30	0.5545539956
31	0.5428520666
32	0.5320335222
33	0.5229550891
34	0.5127668048
35	0.502153853
36	0.4917153413
37	0.4832939152
38	0.4740958169
39	0.4661695356
40	0.4568940715
41	0.4510204272
42	0.4429148988
43	0.4376488854
44	0.4300752769
45	0.4231678079
46	0.4160553014
47	0.4097482915
48	0.4056617805
49	0.4000494627
50	0.3936268212
51	0.3886546109
52	0.3835427905
53	0.3795737342
54	0.3743146633
55	0.3694304962
56	0.364736106
57	0.3601864505
58	0.3566824361
59	0.3513742711
60	0.3475797139
61	0.3453173153
62	0.3410389179
63	0.3374384423
64	0.3333054249
65	0.3289670967
66	0.3257294606
67	0.3218317249
68	0.3186562472
69	0.3153661115
70	0.3112457877
71	0.3078543487
72	0.3044902195
73	0.3019567055
74	0.2985783257
75	0.2958874192
76	0.292445633
77	0.2892438372
78	0.286923346
79	0.2842685614
80	0.2812022679
81	0.2781173003
82	0.2753362532
83	0.2721808055
84	0.2700710227
85	0.267071608
86	0.2649648301
87	0.2631574188
88	0.2612246041
89	0.2598460238
90	0.2575136945
91	0.2552021145
92	0.2532088832
93	0.2518293845
94	0.2493035399
95	0.2473750437
96	0.245925564
97	0.2441136563
98	0.2419068321
99	0.2401175628
100	0.238291918
101	0.2368188154
102	0.2351401901
103	0.2334939077
104	0.2316830933
105	0.2307296511
106	0.2290699108
107	0.2269016219
108	0.225339516
109	0.22459146
110	0.2233187711
111	0.2216275883
112	0.2198708821
113	0.2182007637
114	0.2171717044
115	0.2153997509
116	0.2147223701
117	0.2135151349
118	0.2115052581
119	0.210596093
120	0.2088049701
121	0.2071772305
122	0.2057384279
123	0.2040287177
124	0.2024455992
125	0.2011754543
126	0.2001990112
127	0.1989950107
128	0.1973294769
129	0.1965026913
130	0.1946944661
131	0.1936399848
132	0.192356253
133	0.1913903515
134	0.1902544977
135	0.1887826638
136	0.1874355775
137	0.1864919663
138	0.1861557519
139	0.1850197227
140	0.1840891114
141	0.1829482321
142	0.1815456587
143	0.1806899544
144	0.1794680988
145	0.1784776076
146	0.1772244136
147	0.1761009936
148	0.1750210018
149	0.1739068431
150	0.1730357102
151	0.1720816475
152	0.1709357357
153	0.1701545171
154	0.1691115203
155	0.1680746093
156	0.1670868731
157	0.165844113
