iter	Passed	Remaining
0	1	784
1	3	845
2	4	790
3	6	806
4	8	826
5	9	806
6	11	806
7	13	818
8	14	802
9	16	788
10	17	787
11	19	781
12	20	776
13	22	773
14	23	773
15	25	766
16	26	761
17	28	754
18	29	744
19	30	737
20	32	732
21	33	727
22	35	726
23	36	722
24	37	715
25	38	710
26	40	705
27	41	699
28	42	693
29	44	689
30	45	685
31	46	681
32	47	674
33	49	673
34	50	671
35	51	668
36	53	665
37	54	663
38	55	659
39	56	655
40	58	652
41	59	648
42	60	646
43	61	641
44	63	641
45	64	638
46	66	636
47	67	635
48	68	632
49	70	631
50	71	628
51	72	626
52	73	624
53	75	620
54	76	617
55	77	616
56	79	614
57	80	611
58	81	609
59	82	606
60	83	603
61	85	603
62	86	601
63	87	599
64	89	598
65	90	595
66	91	592
67	92	590
68	94	589
69	95	588
70	97	586
71	98	584
72	99	582
73	100	580
74	102	578
75	103	576
76	104	574
77	105	572
78	107	571
79	108	571
80	110	570
81	111	568
82	112	566
83	113	564
84	115	562
85	116	560
86	117	559
87	119	557
88	120	556
89	121	554
90	123	552
91	124	551
92	125	550
93	127	548
94	128	548
95	129	546
96	131	545
97	132	543
98	133	542
99	135	541
100	136	539
101	137	537
102	138	535
103	140	533
104	141	531
105	142	530
106	143	528
107	145	526
108	146	525
109	147	523
110	148	522
111	150	520
112	151	518
113	152	517
114	154	516
115	155	514
116	156	513
117	158	511
118	159	509
119	160	507
120	161	506
121	162	504
122	164	503
123	165	502
124	166	500
125	168	499
126	169	497
127	170	495
128	171	494
129	173	492
130	174	491
131	175	489
132	177	488
133	178	487
134	179	486
135	181	484
136	182	483
137	183	481
138	184	479
139	185	477
140	186	475
141	188	474
142	189	473
143	190	471
144	191	469
145	193	468
146	194	466
147	195	465
148	196	463
149	198	462
150	199	460
151	200	459
152	201	457
153	203	456
154	204	455
155	205	453
156	207	452
157	208	451
158	209	449
159	210	447
160	211	446
161	213	444
162	214	443
163	216	442
164	217	440
165	218	439
166	219	438
167	221	437
168	222	435
169	223	434
170	224	432
171	226	431
172	227	430
173	229	429
174	230	427
175	231	426
176	232	424
177	234	423
178	235	422
179	236	420
180	238	419
181	239	418
182	240	417
183	242	415
184	243	413
185	244	412
186	245	411
187	247	410
188	248	408
189	249	407
190	251	406
191	252	404
192	253	403
193	254	402
194	256	400
195	257	399
196	258	397
197	259	396
198	261	395
199	263	394
200	264	393
201	265	391
202	266	389
203	267	388
204	268	386
205	270	385
206	271	384
207	272	382
208	274	381
209	275	380
210	276	378
211	278	377
212	279	376
213	280	375
214	281	373
215	283	372
216	284	371
217	285	369
218	287	368
219	288	367
220	289	365
221	290	364
222	292	362
223	293	361
224	294	359
225	295	358
226	297	357
227	298	356
228	299	354
229	300	353
230	302	351
231	303	350
232	304	349
233	306	348
234	307	346
235	308	345
236	310	344
237	311	342
238	312	341
239	313	339
240	314	338
241	316	337
242	317	335
243	318	334
244	320	333
245	321	331
246	322	330
247	323	328
248	325	327
249	326	326
250	327	325
251	328	323
252	330	322
253	331	321
254	332	319
255	334	318
256	335	317
257	336	315
258	337	314
259	339	313
260	340	311
261	341	310
262	343	309
263	344	307
264	345	306
265	346	304
266	348	303
267	349	302
268	350	301
269	351	299
270	353	298
271	354	297
272	355	295
273	357	294
274	358	293
275	359	291
276	360	290
277	362	289
278	363	287
279	364	286
280	366	285
281	367	283
282	368	282
283	369	281
284	371	279
285	372	278
286	373	277
287	374	275
288	375	274
289	377	273
290	378	271
291	379	270
292	380	269
293	381	267
294	383	266
295	384	265
296	385	263
297	387	262
298	388	261
299	389	259
300	390	258
301	392	257
302	393	255
303	394	254
304	396	253
305	397	252
306	398	250
307	400	249
308	401	248
309	402	246
310	403	245
311	405	244
312	406	242
313	407	241
314	409	240
315	410	239
316	411	237
317	413	236
318	414	235
319	415	233
320	417	232
321	418	231
322	419	230
323	421	228
324	422	227
325	423	226
326	424	224
327	426	223
328	427	222
329	428	220
330	430	219
331	431	218
332	432	216
333	433	215
334	435	214
335	436	213
336	437	211
337	439	210
338	440	209
339	441	207
340	443	206
341	444	205
342	445	204
343	447	202
344	448	201
345	449	200
346	451	198
347	452	197
348	453	196
349	455	195
350	456	193
351	457	192
352	459	191
353	460	190
354	462	188
355	463	187
356	464	186
357	466	184
358	467	183
359	468	182
360	469	180
361	471	179
362	472	178
363	474	177
364	475	175
365	476	174
366	477	173
367	479	171
368	480	170
369	481	169
370	483	167
371	484	166
372	485	165
373	486	163
374	488	162
375	489	161
376	490	160
377	491	158
378	493	157
379	494	156
380	495	154
381	497	153
382	498	152
383	499	150
384	501	149
385	502	148
386	503	147
387	505	145
388	506	144
389	507	143
390	508	141
391	510	140
392	511	139
393	512	137
394	514	136
395	515	135
396	516	134
397	518	132
398	519	131
399	520	130
400	522	128
401	523	127
402	524	126
403	525	124
404	527	123
405	528	122
406	529	121
407	531	119
408	532	118
409	533	117
410	534	115
411	536	114
412	537	113
413	538	111
414	540	110
415	541	109
416	542	108
417	543	106
418	545	105
419	546	104
420	547	102
421	549	101
422	550	100
423	551	98
424	552	97
425	553	96
426	555	94
427	556	93
428	557	92
429	559	91
430	560	89
431	562	88
432	563	87
433	564	85
434	566	84
435	567	83
436	568	81
437	569	80
438	571	79
439	572	78
440	573	76
441	574	75
442	576	74
443	577	72
444	578	71
445	579	70
446	580	68
447	582	67
448	583	66
449	584	64
450	585	63
451	587	62
452	588	61
453	589	59
454	590	58
455	592	57
456	593	55
457	594	54
458	595	53
459	597	51
460	598	50
461	599	49
462	600	48
463	602	46
464	603	45
465	604	44
466	605	42
467	606	41
468	608	40
469	609	38
470	611	37
471	612	36
472	613	35
473	615	33
474	616	32
475	618	31
476	619	29
477	620	28
478	622	27
479	623	25
480	624	24
481	625	23
482	626	22
483	628	20
484	629	19
485	630	18
486	632	16
487	633	15
488	634	14
489	636	12
490	637	11
491	638	10
492	639	9
493	641	7
494	642	6
495	643	5
496	645	3
497	646	2
498	647	1
499	648	0
