area,latitude,longitude,zone_type,date,day_of_week,hour,is_weekend,is_night,crowd_score,crowd_level,estimated_people,capacity,utilisation_pct,has_metro,bus_stops_nearby,isolation_risk,overcrowd_risk,data_source
MG Road,12.97703,77.602115,commercial,2024-01-01,Monday,0,0,1,0.137,Low,1145,8000,13.7,1,12,0.431,0.11,synthetic
MG Road,12.973609,77.605329,commercial,2024-01-01,Monday,1,0,1,0.053,Low,462,8000,5.3,1,12,0.473,0.043,synthetic
MG Road,12.974204,77.606722,commercial,2024-01-01,Monday,2,0,1,0.057,Low,459,8000,5.7,1,12,0.472,0.045,synthetic
MG Road,12.973369,77.603248,commercial,2024-01-01,Monday,3,0,1,0.104,Low,857,8000,10.4,1,12,0.448,0.084,synthetic
MG Road,12.971459,77.606976,commercial,2024-01-01,Monday,4,0,1,0.103,Low,802,8000,10.3,1,12,0.449,0.082,synthetic
MG Road,12.971395,77.60334,commercial,2024-01-01,Monday,5,0,1,0.109,Low,784,8000,10.9,1,12,0.446,0.087,synthetic
MG Road,12.97151,77.604455,commercial,2024-01-01,Monday,6,0,0,0.095,Low,820,8000,9.5,1,12,0.181,0.076,synthetic
MG Road,12.975374,77.604546,commercial,2024-01-01,Monday,7,0,0,0.217,Low,1552,8000,21.7,1,12,0.157,0.173,synthetic
MG Road,12.973186,77.602352,commercial,2024-01-01,Monday,8,0,0,0.365,Moderate,3206,8000,36.5,1,12,0.127,0.292,synthetic
MG Road,12.973826,77.604086,commercial,2024-01-01,Monday,9,0,0,0.633,High,4466,8000,63.3,1,12,0.073,0.506,synthetic
MG Road,12.976835,77.603498,commercial,2024-01-01,Monday,10,0,0,0.704,High,6441,8000,70.4,1,12,0.059,0.564,synthetic
MG Road,12.973096,77.603476,commercial,2024-01-01,Monday,11,0,0,0.704,High,6111,8000,70.4,1,12,0.059,0.563,synthetic
MG Road,12.978518,77.603936,commercial,2024-01-01,Monday,12,0,0,0.66,High,5159,8000,66.0,1,12,0.068,0.528,synthetic
MG Road,12.978578,77.603038,commercial,2024-01-01,Monday,13,0,0,0.65,High,5848,8000,65.0,1,12,0.07,0.52,synthetic
MG Road,12.972078,77.605052,commercial,2024-01-01,Monday,14,0,0,0.646,High,4467,8000,64.6,1,12,0.071,0.516,synthetic
MG Road,12.972159,77.603061,commercial,2024-01-01,Monday,15,0,0,0.662,High,5021,8000,66.2,1,12,0.068,0.53,synthetic
MG Road,12.978989,77.603556,commercial,2024-01-01,Monday,16,0,0,0.719,High,6066,8000,71.9,1,12,0.056,0.575,synthetic
MG Road,12.976108,77.603655,commercial,2024-01-01,Monday,17,0,0,0.854,Extreme,7583,8000,85.4,1,12,0.029,0.683,synthetic
MG Road,12.977532,77.602767,commercial,2024-01-01,Monday,18,0,0,0.913,Extreme,6457,8000,91.3,1,12,0.017,0.731,synthetic
MG Road,12.973217,77.608235,commercial,2024-01-01,Monday,19,0,0,0.824,Extreme,6641,8000,82.4,1,12,0.035,0.659,synthetic
MG Road,12.977292,77.604852,commercial,2024-01-01,Monday,20,0,1,0.615,High,5581,8000,61.5,1,12,0.193,0.492,synthetic
MG Road,12.977606,77.604237,commercial,2024-01-01,Monday,21,0,1,0.407,Moderate,2827,8000,40.7,1,12,0.296,0.326,synthetic
MG Road,12.973249,77.608546,commercial,2024-01-01,Monday,22,0,1,0.199,Low,1479,8000,19.9,1,12,0.4,0.159,synthetic
MG Road,12.971803,77.605584,commercial,2024-01-01,Monday,23,0,1,0.179,Low,1304,8000,17.9,1,12,0.411,0.143,synthetic
Majestic,12.980074,77.574809,transit_hub,2024-01-01,Monday,0,0,1,0.232,Low,2863,12000,23.2,1,20,0.384,0.278,synthetic
Majestic,12.9753,77.573468,transit_hub,2024-01-01,Monday,1,0,1,0.172,Low,2307,12000,17.2,1,20,0.414,0.207,synthetic
Majestic,12.974988,77.569288,transit_hub,2024-01-01,Monday,2,0,1,0.133,Low,1495,12000,13.3,1,20,0.433,0.16,synthetic
Majestic,12.979695,77.569373,transit_hub,2024-01-01,Monday,3,0,1,0.106,Low,1313,12000,10.6,1,20,0.447,0.127,synthetic
Majestic,12.974083,77.567752,transit_hub,2024-01-01,Monday,4,0,1,0.197,Low,2306,12000,19.7,1,20,0.402,0.236,synthetic
Majestic,12.976616,77.572906,transit_hub,2024-01-01,Monday,5,0,1,0.262,Moderate,3364,12000,26.2,1,20,0.369,0.314,synthetic
Majestic,12.975934,77.570174,transit_hub,2024-01-01,Monday,6,0,0,0.47,Moderate,5561,12000,47.0,1,20,0.106,0.564,synthetic
Majestic,12.97468,77.567936,transit_hub,2024-01-01,Monday,7,0,0,0.83,Extreme,8545,12000,83.0,1,20,0.034,0.996,synthetic
Majestic,12.978555,77.56809,transit_hub,2024-01-01,Monday,8,0,0,1.0,Extreme,11261,12000,100.0,1,20,0.0,1.0,synthetic
Majestic,12.979132,77.570326,transit_hub,2024-01-01,Monday,9,0,0,1.0,Extreme,12726,12000,100.0,1,20,0.0,1.0,synthetic
Majestic,12.976787,77.569733,transit_hub,2024-01-01,Monday,10,0,0,0.966,Extreme,10769,12000,96.6,1,20,0.007,1.0,synthetic
Majestic,12.973317,77.568484,transit_hub,2024-01-01,Monday,11,0,0,0.845,Extreme,10482,12000,84.5,1,20,0.031,1.0,synthetic
Majestic,12.978665,77.568986,transit_hub,2024-01-01,Monday,12,0,0,0.922,Extreme,10964,12000,92.2,1,20,0.016,1.0,synthetic
Majestic,12.973076,77.568719,transit_hub,2024-01-01,Monday,13,0,0,0.873,Extreme,11769,12000,87.3,1,20,0.025,1.0,synthetic
Majestic,12.975399,77.571925,transit_hub,2024-01-01,Monday,14,0,0,0.812,Extreme,9192,12000,81.2,1,20,0.038,0.974,synthetic
Majestic,12.972966,77.568097,transit_hub,2024-01-01,Monday,15,0,0,0.901,Extreme,10346,12000,90.1,1,20,0.02,1.0,synthetic
Majestic,12.979834,77.568441,transit_hub,2024-01-01,Monday,16,0,0,0.898,Extreme,11111,12000,89.8,1,20,0.02,1.0,synthetic
Majestic,12.9795,77.572021,transit_hub,2024-01-01,Monday,17,0,0,1.0,Extreme,12179,12000,100.0,1,20,0.0,1.0,synthetic
Majestic,12.973043,77.574688,transit_hub,2024-01-01,Monday,18,0,0,1.0,Extreme,12896,12000,100.0,1,20,0.0,1.0,synthetic
Majestic,12.978027,77.571945,transit_hub,2024-01-01,Monday,19,0,0,1.0,Extreme,11414,12000,100.0,1,20,0.0,1.0,synthetic
Majestic,12.979873,77.574289,transit_hub,2024-01-01,Monday,20,0,1,0.908,Extreme,11973,12000,90.8,1,20,0.046,1.0,synthetic
Majestic,12.98048,77.569594,transit_hub,2024-01-01,Monday,21,0,1,0.647,High,8240,12000,64.7,1,20,0.176,0.777,synthetic
Majestic,12.977294,77.569263,transit_hub,2024-01-01,Monday,22,0,1,0.41,Moderate,4521,12000,41.0,1,20,0.295,0.492,synthetic
Majestic,12.976058,77.568514,transit_hub,2024-01-01,Monday,23,0,1,0.289,Moderate,3185,12000,28.9,1,20,0.356,0.347,synthetic
