id,city,hospital_name,latitude,longitude,area,hospital_type,emergency,trauma_center,ambulance_available,beds_available,icu_available,contact_number,average_response_time_min,safety_rating,occupancy_percentage,open_24x7,last_updated
b35c30b1-2e2f-4707-89e8-e99cdb32b8f9,bengaluru,Apollo Bannerghatta Hospital,13.02515,77.65359,Yelahanka,Medical College,True,False,20,481,22,+91 9831593063,18,8.9,51.94,True,2026-07-31T19:24:42.985087+00:00
32c9ff6d-0417-4110-a2b2-fc0e38dcc9bb,bengaluru,Manipal HAL Road Hospital,12.829453,77.757924,Electronic City,Government,True,False,8,256,38,+91 9843989605,12,8.7,52.68,True,2026-07-31T19:24:42.985130+00:00
6e1093a2-34f9-416c-b7d9-8b8ff5ff6bb9,bengaluru,Fortis Bannerghatta Hospital,12.966009,77.691734,Whitefield,Medical College,True,False,4,121,40,+91 9813561664,18,8.3,62.59,True,2026-07-31T19:24:42.985152+00:00
2ebf6d1c-7a35-45ba-8618-a88fb29f824c,bengaluru,Victoria Hospital,12.811878,77.620767,Malleshwaram,Children,True,False,8,36,12,+91 9823010968,14,8.8,83.76,True,2026-07-31T19:24:42.985172+00:00
b487f8e3-2b74-43e2-b553-ccb22dc599c2,bengaluru,Narayana Health Hospital,12.93399,77.546205,Yelahanka,Multi-speciality,False,False,3,27,6,+91 9861831230,6,7.2,82.65,True,2026-07-31T19:24:42.985191+00:00
e9e9e2d9-faba-416d-bebd-335cfa01e1ed,bengaluru,Aster CMI Hospital,12.87601,77.592076,Yelahanka,Multi-speciality,True,False,2,100,40,+91 9860995036,17,7.6,97.14,True,2026-07-31T19:24:42.985212+00:00
dd1cfe85-6f76-47b3-9779-bb87d768cd31,bengaluru,St John's Hospital,12.877704,77.74937,HSR Layout,Private,True,True,10,70,43,+91 9823221339,12,9.3,74.51,True,2026-07-31T19:24:42.985232+00:00
05825c4f-54c5-4f47-95e5-29dbccbfffbf,bengaluru,Bowring Hospital,13.056231,77.63073,Banashankari,Children,True,False,7,444,22,+91 9813329823,8,8.1,71.92,True,2026-07-31T19:24:42.985249+00:00
ade6e89b-c8f2-40e8-b58a-aa83bc13f7a7,bengaluru,Columbia Asia Hospital,12.80431,77.517966,Indiranagar,Emergency Hospital,True,True,20,367,44,+91 9880212260,10,8.3,78.67,True,2026-07-31T19:24:42.985267+00:00
b45c0ef4-d671-493f-8fff-27104be91566,bengaluru,MS Ramaiah Hospital,12.990583,77.624194,Brigade Road,Emergency Hospital,False,False,13,333,22,+91 9841342525,17,8.2,59.06,True,2026-07-31T19:24:42.985283+00:00
024d2dac-1d7f-4213-87aa-263302ef8469,bengaluru,Bengaluru Private Hospital,12.886255,77.544558,Bellandur,Government,False,True,16,437,21,+91 9843373393,9,8.0,70.59,True,2026-07-31T19:24:42.985305+00:00
afead19f-c183-4a7b-ac94-6689624a18d5,bengaluru,Bengaluru Private Hospital,13.032281,77.658629,Jayanagar,Government,False,True,14,215,31,+91 9865890726,21,9.5,51.79,True,2026-07-31T19:24:42.985328+00:00
435c627c-3e11-44a2-8f70-b2ed17070e99,bengaluru,Bengaluru Trauma Center Hospital,12.810304,77.653784,Whitefield,Emergency Hospital,False,False,7,23,13,+91 9855435772,20,7.2,88.1,True,2026-07-31T19:24:42.985347+00:00
34444329-a07f-43ce-bf83-c2ffc77f9b40,bengaluru,Bengaluru Private Hospital,12.936371,77.712719,Indiranagar,Private,True,False,18,281,12,+91 9874035950,22,7.8,94.11,True,2026-07-31T19:24:42.985366+00:00
5fe573dd-8e51-4cfc-ac81-ae26ae4fa715,bengaluru,Bengaluru Trauma Center Hospital,12.936,77.573511,Brigade Road,Children,True,False,3,182,30,+91 9890354603,6,7.0,73.16,True,2026-07-31T19:24:42.985385+00:00
80b48e4d-0c96-4119-8b70-eb088120090b,bengaluru,Bengaluru Medical College Hospital,12.86033,77.651861,Jayanagar,Private,True,True,2,84,21,+91 9875710816,24,8.1,64.86,True,2026-07-31T19:24:42.985400+00:00
5c7a16a7-f534-4d21-806a-a1737883d52e,bengaluru,Bengaluru Emergency Hospital,12.86602,77.655478,MG Road,Trauma Center,False,True,14,135,45,+91 9830925387,12,7.9,71.86,True,2026-07-31T19:24:42.985420+00:00
2e8f1a81-a44d-4c3e-9aa9-c00a9100767b,bengaluru,Bengaluru Multi-speciality Hospital,12.910273,77.56959,Jayanagar,Private,True,False,16,186,16,+91 9841979862,18,9.6,81.43,True,2026-07-31T19:24:42.985435+00:00
7129e97e-2bbc-492a-bbfa-772533e6957c,bengaluru,Bengaluru Medical College Hospital,13.043409,77.718294,HSR Layout,Private,True,True,3,116,39,+91 9878730761,12,7.5,76.31,True,2026-07-31T19:24:42.985449+00:00
5aad82a7-4871-44ce-a78c-a4f8901ac1ee,bengaluru,Bengaluru Children Hospital,12.992194,77.571633,Rajajinagar,Medical College,True,True,13,426,41,+91 9866007986,12,8.0,51.05,True,2026-07-31T19:24:42.985464+00:00
b873a738-b267-4e20-b5ae-84d5565d9296,bengaluru,Bengaluru Children Hospital,12.99494,77.541576,Brigade Road,Private,True,False,3,309,15,+91 9820469516,8,9.7,73.36,True,2026-07-31T19:24:42.985479+00:00
fe877807-126b-4f49-9db4-f71ebd2600e6,bengaluru,Bengaluru Trauma Center Hospital,12.845911,77.640644,Indiranagar,Private,True,True,5,553,11,+91 9870849058,13,7.6,53.44,True,2026-07-31T19:24:42.985495+00:00
fe59e323-ac43-4357-af64-70ce96dbbd20,bengaluru,Bengaluru Multi-speciality Hospital,12.91065,77.602224,Rajajinagar,Government,True,True,11,62,47,+91 9893007550,19,7.1,92.46,True,2026-07-31T19:24:42.985510+00:00
897452ad-5446-4b0b-b847-cfa9f4921ac7,bengaluru,Bengaluru Emergency Hospital,12.868209,77.636896,Brigade Road,Children,False,True,6,16,19,+91 9819082184,12,9.1,82.47,True,2026-07-31T19:24:42.985525+00:00
86d855e8-4722-4bf0-9dcf-025f21ec9067,bengaluru,Bengaluru Emergency Hospital,12.983775,77.77648,Brigade Road,Children,True,False,13,44,13,+91 9886884858,23,9.3,71.64,True,2026-07-31T19:24:42.985540+00:00
fd4950b0-7a20-4efd-95a2-200df5351af2,bengaluru,Bengaluru Children Hospital,12.840646,77.521014,Marathahalli,Private,False,False,4,69,20,+91 9853909735,11,7.5,97.86,True,2026-07-31T19:24:42.985554+00:00
a8eee21e-eb52-410f-b800-77ace210af5a,bengaluru,Bengaluru Children Hospital,13.095381,77.717994,Bellandur,Private,True,True,15,491,25,+91 9863874254,22,9.0,63.5,True,2026-07-31T19:24:42.985570+00:00
132358e6-dbb9-41af-beaf-a734404f32ed,bengaluru,Bengaluru Children Hospital,12.843807,77.586069,Marathahalli,Government,True,True,13,47,45,+91 9835459360,12,7.5,77.08,True,2026-07-31T19:24:42.985616+00:00
4ae0cead-5763-423e-b5bf-7d7d7adaf4ac,bengaluru,Bengaluru Trauma Center Hospital,12.964197,77.504287,HSR Layout,Children,False,False,18,638,9,+91 9878476038,16,9.2,56.89,True,2026-07-31T19:24:42.985641+00:00
18399ffa-b3cf-4fbd-8063-ec6d842c34d1,bengaluru,Bengaluru Children Hospital,13.069812,77.680198,Rajajinagar,Private,True,True,7,433,5,+91 9820785452,10,9.9,94.75,True,2026-07-31T19:24:42.985658+00:00
