id,city,parking_name,latitude,longitude,area,capacity,available_spaces,occupancy_percentage,parking_type,fee_per_hour,safety_score,lighting_score,cctv_score,security_guard,walking_distance_m,ev_charging,accessible_parking,status,last_updated
665de838-e7e2-4e31-b293-ddcae12bb805,bengaluru,Malleshwaram Public Parking,13.066407,77.587805,Malleshwaram,69,48,29.51,Underground,60,2.6,4.6,4.3,False,786,False,True,Active,2026-07-31T19:24:42.969078+00:00
676fe9f4-2aa4-4a6a-8c18-d032e8ad9f47,bengaluru,Marathahalli Smart Parking,13.047996,77.72549,Marathahalli,126,52,58.16,Underground,50,3.3,3.3,9.7,False,770,True,True,Active,2026-07-31T19:24:42.969116+00:00
d87573c7-7548-40ed-8e5f-9f8f57aa7df5,bengaluru,HSR Layout Smart Parking,12.807781,77.693479,HSR Layout,94,28,69.81,Underground,20,5.2,8.3,3.4,True,613,True,True,Active,2026-07-31T19:24:42.969135+00:00
fc4b12e1-c273-4890-87d2-b153eaef942d,bengaluru,Hebbal Public Parking,12.963586,77.513475,Hebbal,162,10,93.82,Open Lot,30,2.0,4.2,4.0,False,478,True,True,Active,2026-07-31T19:24:42.969151+00:00
e66a51f7-93a9-4429-8570-4b107f044611,bengaluru,Marathahalli Transit Parking,13.057566,77.723068,Marathahalli,355,121,65.67,Open Lot,20,3.4,6.4,4.3,False,98,False,False,Active,2026-07-31T19:24:42.969164+00:00
9c02a99e-33d7-4f0a-8fdb-77860336a8d1,bengaluru,Malleshwaram Public Parking,12.886324,77.524857,Malleshwaram,195,30,84.56,Open Lot,60,5.3,8.0,7.6,False,501,False,True,Active,2026-07-31T19:24:42.969176+00:00
a11812e0-e43e-4495-9971-b5df783de169,bengaluru,Yelahanka Transit Parking,12.822074,77.636837,Yelahanka,190,73,61.44,Open Lot,20,4.9,3.1,8.6,True,439,True,False,Active,2026-07-31T19:24:42.969191+00:00
3db2561a-a509-4c69-985b-f2ef888d8823,bengaluru,Bellandur Parking Zone,12.825734,77.755435,Bellandur,466,255,45.07,Underground,50,6.2,9.9,3.5,True,131,False,True,Active,2026-07-31T19:24:42.969203+00:00
758c713b-9355-4ce9-a88c-ed9da688bd55,bengaluru,Banashankari Parking Zone,12.950047,77.517637,Banashankari,145,90,37.73,Underground,40,5.5,3.0,7.7,True,477,True,True,Active,2026-07-31T19:24:42.969214+00:00
fa3cc521-93e7-4af9-9d43-2bff2fcf1714,bengaluru,Banashankari Transit Parking,13.096733,77.592381,Banashankari,402,169,57.81,Underground,30,7.3,8.1,7.4,True,786,True,True,Active,2026-07-31T19:24:42.969225+00:00
beb5f37c-920c-412d-aa38-27b24910e2fb,bengaluru,Whitefield Smart Parking,13.010691,77.527293,Whitefield,147,31,78.58,Street,20,7.8,8.8,8.7,True,756,False,True,Active,2026-07-31T19:24:42.969236+00:00
3ffdc839-8c3b-46e1-a552-391bcd7e8e76,bengaluru,Bellandur Smart Parking,13.020493,77.627625,Bellandur,374,266,28.73,Underground,30,6.4,5.1,8.1,True,523,False,True,Active,2026-07-31T19:24:42.969249+00:00
3b854c78-ab36-4b9d-9ca7-5a7a0627219b,bengaluru,Rajajinagar Smart Parking,12.815908,77.537558,Rajajinagar,77,25,66.82,Street,50,4.4,4.2,5.5,True,598,False,False,Active,2026-07-31T19:24:42.969260+00:00
