road_name,area,latitude,longitude,road_type,hour,date,congestion_level,average_speed_kmh,vehicle_density,delay_minutes,traffic_percentage,road_capacity_vph,road_width_m,signal_count,peak_hour,accident_probability,traffic_direction,is_road_closed,weather_condition,data_source
MG Road,City Centre,12.975592,77.602936,arterial,0,2024-01-01,0.107,39.1,15.7,0.2,10.7,3200,30,2,0,0.036,both,0,clear,synthetic
MG Road,City Centre,12.975607,77.606248,arterial,1,2024-01-01,0.086,34.4,13.1,0.1,8.6,3200,30,4,0,0.033,inbound,0,clear,synthetic
MG Road,City Centre,12.973274,77.603091,arterial,2,2024-01-01,0.072,40.4,10.9,0.1,7.2,3200,30,2,0,0.031,both,0,rainy,synthetic
MG Road,City Centre,12.974592,77.603747,arterial,3,2024-01-01,0.088,35.8,11.9,0.1,8.8,3200,30,7,0,0.033,both,0,clear,synthetic
MG Road,City Centre,12.974198,77.604736,arterial,4,2024-01-01,0.131,33.4,16.0,0.2,13.1,3200,30,2,0,0.04,inbound,0,clear,synthetic
MG Road,City Centre,12.975554,77.602279,arterial,5,2024-01-01,0.149,33.1,19.9,0.3,14.9,3200,30,1,0,0.042,inbound,0,rainy,synthetic
MG Road,City Centre,12.977693,77.607794,arterial,6,2024-01-01,0.311,27.5,34.2,0.6,31.1,3200,30,7,0,0.067,inbound,0,cloudy,synthetic
MG Road,City Centre,12.976105,77.604641,arterial,7,2024-01-01,0.691,15.3,77.3,2.6,69.1,3200,30,5,1,0.124,both,0,clear,synthetic
MG Road,City Centre,12.977456,77.603553,arterial,8,2024-01-01,0.622,18.8,67.5,2.0,62.2,3200,30,7,1,0.113,outbound,0,clear,synthetic
MG Road,City Centre,12.97528,77.603109,arterial,9,2024-01-01,0.676,15.9,90.9,2.4,67.6,3200,30,3,1,0.121,inbound,0,clear,synthetic
MG Road,City Centre,12.977369,77.605587,arterial,10,2024-01-01,0.347,29.9,54.4,0.8,34.7,3200,30,2,0,0.072,both,0,cloudy,synthetic
MG Road,City Centre,12.972271,77.603952,arterial,11,2024-01-01,0.342,25.9,40.1,0.7,34.2,3200,30,2,0,0.071,outbound,0,clear,synthetic
MG Road,City Centre,12.974141,77.603686,arterial,12,2024-01-01,0.379,25.7,57.2,0.9,37.9,3200,30,5,0,0.077,both,0,cloudy,synthetic
MG Road,City Centre,12.972447,77.607921,arterial,13,2024-01-01,0.394,24.4,58.9,0.9,39.4,3200,30,2,0,0.079,one_way,0,clear,synthetic
MG Road,City Centre,12.976893,77.606241,arterial,14,2024-01-01,0.417,24.0,44.6,1.0,41.7,3200,30,5,0,0.083,outbound,0,rainy,synthetic
MG Road,City Centre,12.974151,77.602695,arterial,15,2024-01-01,0.323,30.6,35.7,0.7,32.3,3200,30,4,0,0.068,both,0,clear,synthetic
MG Road,City Centre,12.972381,77.603866,arterial,16,2024-01-01,0.336,29.3,41.8,0.7,33.6,3200,30,4,0,0.07,outbound,0,clear,synthetic
MG Road,City Centre,12.977323,77.604833,arterial,17,2024-01-01,0.583,21.6,81.9,1.8,58.3,3200,30,4,1,0.107,both,0,cloudy,synthetic
MG Road,City Centre,12.975368,77.606626,arterial,18,2024-01-01,0.562,22.2,82.7,1.6,56.2,3200,30,5,1,0.104,one_way,0,clear,synthetic
MG Road,City Centre,12.972153,77.602647,arterial,19,2024-01-01,0.599,19.8,77.6,1.9,59.9,3200,30,3,1,0.11,outbound,0,clear,synthetic
MG Road,City Centre,12.975051,77.607445,arterial,20,2024-01-01,0.553,22.0,68.3,1.6,55.3,3200,30,4,1,0.153,outbound,0,clear,synthetic
MG Road,City Centre,12.973373,77.602462,arterial,21,2024-01-01,0.275,30.1,40.4,0.5,27.5,3200,30,3,0,0.111,inbound,0,clear,synthetic
MG Road,City Centre,12.976849,77.6058,arterial,22,2024-01-01,0.099,34.6,15.5,0.2,9.9,3200,30,8,0,0.085,one_way,0,clear,synthetic
MG Road,City Centre,12.977355,77.605236,arterial,23,2024-01-01,0.157,36.5,18.3,0.3,15.7,3200,30,4,0,0.094,outbound,0,clear,synthetic
MG Road,City Centre,12.97266,77.603368,arterial,0,2024-01-02,0.151,37.3,18.6,0.3,15.1,3200,30,4,0,0.043,both,0,clear,synthetic
MG Road,City Centre,12.972042,77.605064,arterial,1,2024-01-02,0.113,38.1,17.2,0.2,11.3,3200,30,7,0,0.037,outbound,0,clear,synthetic
MG Road,City Centre,12.974026,77.607657,arterial,2,2024-01-02,0.112,34.5,12.6,0.2,11.2,3200,30,4,0,0.037,outbound,0,clear,synthetic
MG Road,City Centre,12.974182,77.607831,arterial,3,2024-01-02,0.102,36.6,14.8,0.2,10.2,3200,30,8,0,0.035,one_way,0,cloudy,synthetic
MG Road,City Centre,12.973805,77.603709,arterial,4,2024-01-02,0.166,32.9,22.1,0.3,16.6,3200,30,3,0,0.045,outbound,0,clear,synthetic
