area,latitude,longitude,date,hour,month,weather_condition,rainfall_mm_hr,visibility_km,visibility_score,wind_speed_kmh,humidity_pct,temperature_c,flood_risk,waterlogging_risk,road_slipperiness,weather_severity,is_night,data_source
Koramangala,12.937898,77.626968,2024-01-01,0,1,Cloudy,0.0,9.5,0.792,7.3,65.1,18.2,0.0,0.0,0.109,0.051,1,synthetic
Koramangala,12.933123,77.627661,2024-01-01,1,1,Clear,0.0,12.7,1.0,7.0,49.7,18.1,0.0,0.019,0.033,0.055,1,synthetic
Koramangala,12.93255,77.619566,2024-01-01,2,1,Fog,0.18,0.7,0.058,1.0,89.1,16.8,0.0,0.0,0.149,0.508,1,synthetic
Koramangala,12.932726,77.629183,2024-01-01,3,1,Fog,0.22,0.2,0.017,9.3,90.4,16.6,0.02,0.026,0.169,0.583,1,synthetic
Koramangala,12.938713,77.62029,2024-01-01,4,1,Clear,0.0,12.1,1.0,6.8,42.0,19.2,0.061,0.073,0.046,0.072,1,synthetic
Koramangala,12.93978,77.619658,2024-01-01,5,1,Clear,0.0,12.8,1.0,10.1,46.4,20.1,0.0,0.0,0.038,0.072,1,synthetic
Koramangala,12.937404,77.627725,2024-01-01,6,1,Clear,0.0,12.6,1.0,9.9,48.3,18.3,0.0,0.0,0.053,0.052,0,synthetic
Koramangala,12.931832,77.621828,2024-01-01,7,1,Clear,0.0,12.2,1.0,5.4,48.3,16.9,0.037,0.022,0.026,0.03,0,synthetic
Koramangala,12.934349,77.621046,2024-01-01,8,1,Clear,0.0,12.4,1.0,9.5,47.7,17.9,0.02,0.003,0.08,0.011,0,synthetic
Koramangala,12.931531,77.621507,2024-01-01,9,1,Clear,0.0,12.0,1.0,7.3,43.3,19.7,0.04,0.049,0.057,0.09,0,synthetic
Koramangala,12.936379,77.625508,2024-01-01,10,1,Cloudy,0.0,9.0,0.75,14.7,64.8,21.2,0.037,0.016,0.092,0.09,0,synthetic
Koramangala,12.939201,77.62158,2024-01-01,11,1,Clear,0.0,11.3,0.942,5.1,43.0,22.4,0.033,0.009,0.061,0.084,0,synthetic
Koramangala,12.93781,77.627695,2024-01-01,12,1,Fog,0.18,0.2,0.017,6.3,85.4,21.9,0.0,0.0,0.17,0.596,0,synthetic
Koramangala,12.935204,77.628901,2024-01-01,13,1,Fog,0.2,0.2,0.017,7.1,91.3,21.6,0.039,0.047,0.134,0.508,0,synthetic
Koramangala,12.932073,77.623888,2024-01-01,14,1,Cloudy,0.0,8.3,0.692,12.8,62.8,25.5,0.0,0.0,0.092,0.066,0,synthetic
Koramangala,12.931719,77.625586,2024-01-01,15,1,Clear,0.0,11.5,0.958,7.0,48.2,23.6,0.034,0.0,0.076,0.011,0,synthetic
Koramangala,12.93802,77.62672,2024-01-01,16,1,Cloudy,0.0,8.9,0.742,15.4,62.1,24.9,0.0,0.0,0.07,0.107,0,synthetic
Koramangala,12.931735,77.622832,2024-01-01,17,1,Cloudy,0.0,9.6,0.8,16.2,57.4,20.7,0.026,0.02,0.091,0.149,0,synthetic
Koramangala,12.939111,77.623342,2024-01-01,18,1,Strong Wind,1.01,7.9,0.658,68.7,55.4,19.9,0.0,0.032,0.1,0.49,0,synthetic
