latitude,longitude,crime_type,crime_severity,hour,area,is_night
17.390870175701266,78.3618222288037,Vandalism,2.6,15,Unknown,0
17.50079591982352,78.38677356203804,Pickpocketing,8.0,20,Kukatpally,1
17.40274060711276,78.4364483783676,Chain Snatching,4.7,14,Tolichowki,0
17.582030842175335,78.33339581007482,Eve Teasing,5.2,14,Unknown,0
17.3673074394394,78.49476772406152,Vandalism,2.6,23,Charminar,1
17.419322007329573,78.44958150442031,Cybercrime,5.5,17,Ameerpet,0
17.226542574603684,78.3609569551749,Theft,7.0,4,Unknown,1
17.46493398378051,78.37904213859287,Chain Snatching,3.1,2,Hitech City,1
17.407902758596112,78.56977432531326,Pickpocketing,3.5,23,Uppal,1
17.530868709840068,78.62127991542336,Robbery,2.3,22,Unknown,1
17.42881423844323,78.33787687116944,Theft,4.2,12,Financial District,0
17.25773106323522,78.59267198123419,Eve Teasing,2.1,23,Unknown,1
17.410752113022035,78.39891954793295,Vandalism,5.3,14,Jubilee Hills,0
17.480066449253847,78.34727745485617,Robbery,4.7,6,Miyapur,0
17.429371991720455,78.3899079031434,Eve Teasing,6.7,13,Hitech City,0
17.213424266819526,78.42109105031086,Chain Snatching,9.7,11,Unknown,0
17.400569968654196,78.42799813165124,Assault,4.9,16,Mehdipatnam,0
17.42590619596347,78.4590410277992,Chain Snatching,2.8,0,Ameerpet,1
17.395031672670736,78.4129996657868,Drug Offense,4.1,6,Tolichowki,0
17.493837888356882,78.34659995859253,Robbery,8.6,4,Miyapur,1
17.426161688847763,78.34334217742021,Chain Snatching,2.7,2,Financial District,1
17.43852620998651,78.36391115084125,Eve Teasing,2.7,19,Raidurg,0
17.344018396368966,78.53467718754258,Theft,4.7,1,LB Nagar,1
17.42324053219188,78.44865058590402,Cybercrime,9.4,12,Banjara Hills,0
17.501046669832867,78.3876739820464,Drug Offense,5.9,17,Kukatpally,0
17.58524687512899,78.45503140549441,Vehicle Theft,5.1,7,Unknown,0
17.50458177329862,78.41657105067664,Vehicle Theft,6.2,7,Kukatpally,0
17.376230361865186,78.30936805403473,Drug Offense,8.4,21,Unknown,1
17.40173272917262,78.56779016347092,Assault,8.1,7,Uppal,0
17.402330724284234,78.36058580621767,Vandalism,5.2,16,Nanakramguda,0
17.294923954916758,78.38698948802046,Vehicle Theft,8.2,14,Unknown,0
17.514117741318234,78.35333324143059,Pickpocketing,8.0,5,Miyapur,1
17.409156797715827,78.34424429007858,Vandalism,4.2,21,Financial District,1
17.370235953330187,78.51273542078894,Cybercrime,5.2,11,Dilsukhnagar,0
17.271535460326398,78.41416796304986,Cybercrime,3.9,17,Shamshabad,0
17.38615204946314,78.40233517094426,Robbery,4.4,8,Tolichowki,0
