id,city,hospital_name,latitude,longitude,area,hospital_type,emergency,trauma_center,ambulance_available,beds_available,icu_available,contact_number,average_response_time_min,safety_rating,occupancy_percentage,open_24x7,last_updated
f47df778-916d-4833-b429-fdd1fef939e4,hyderabad,Apollo Jubilee Hills Hospital,17.561724,78.515342,Gachibowli,Children,False,True,6,24,35,+91 9824922014,9,7.0,94.95,True,2026-07-31T19:24:43.008192+00:00
4dbde815-78ac-41cf-984f-901681e83628,hyderabad,Yashoda Somajiguda Hospital,17.42833,78.372012,Jubilee Hills,Emergency Hospital,True,False,4,29,27,+91 9825583551,16,8.3,93.04,True,2026-07-31T19:24:43.008223+00:00
a53a0b72-756a-4154-b064-130fa2f92db6,hyderabad,KIMS Hospital,17.423756,78.381739,Jubilee Hills,Government,True,True,9,326,26,+91 9894255955,23,8.6,71.57,True,2026-07-31T19:24:43.008235+00:00
e6ff551b-a1bb-4182-8120-ff9b260cce72,hyderabad,CARE Banjara Hills Hospital,17.59925,78.541469,Banjara Hills,Government,True,False,14,53,8,+91 9844622606,5,8.8,88.41,True,2026-07-31T19:24:43.008247+00:00
bb4cd0b1-c541-4844-b468-1d51a96b3871,hyderabad,AIG Hospital,17.360209,78.317157,Kukatpally,Trauma Center,True,False,8,181,15,+91 9846338510,22,8.1,52.84,True,2026-07-31T19:24:43.008257+00:00
de00d227-4e35-44be-88a0-46880c01deb0,hyderabad,Continental Hospital,17.212393,78.516242,Raidurg,Government,True,False,6,174,10,+91 9863727799,10,7.0,82.61,True,2026-07-31T19:24:43.008267+00:00
ae44ba1f-6690-44dd-a57a-36a13a383a48,hyderabad,Sunshine Hospital,17.547688,78.322746,LB Nagar,Private,True,True,17,815,12,+91 9860746156,8,8.7,57.7,True,2026-07-31T19:24:43.008278+00:00
8094d6ee-c172-49c0-ac21-a8b73d057dbc,hyderabad,Osmania General Hospital,17.226936,78.427575,Jubilee Hills,Medical College,False,True,20,783,25,+91 9893131410,16,9.0,61.56,True,2026-07-31T19:24:43.008287+00:00
4d771775-55e1-4c30-9f9f-9fac7894fb86,hyderabad,Gandhi Hospital,17.519649,78.644096,Kukatpally,Government,True,False,3,101,28,+91 9831252270,24,9.3,52.0,True,2026-07-31T19:24:43.008297+00:00
6b8f0ced-1dae-4217-b414-8fb56f5792e9,hyderabad,NIMS Hospital,17.548229,78.365127,Gachibowli,Multi-speciality,False,True,11,296,49,+91 9891356013,6,8.8,93.35,True,2026-07-31T19:24:43.008309+00:00
e280d25a-bf26-4d68-931d-942a60ffa615,hyderabad,Hyderabad Multi-speciality Hospital,17.378592,78.546861,Hitech City,Private,True,False,7,325,16,+91 9893560814,20,7.9,54.95,True,2026-07-31T19:24:43.008322+00:00
e8f7d3a6-132a-4f2a-b223-eecdad767b19,hyderabad,Hyderabad Medical College Hospital,17.58142,78.454709,Miyapur,Private,False,True,7,26,49,+91 9888591511,21,9.9,54.71,True,2026-07-31T19:24:43.008332+00:00
4350ce89-8d6a-4dcf-a265-e36771d726cb,hyderabad,Hyderabad Medical College Hospital,17.36901,78.465747,Jubilee Hills,Medical College,True,False,4,280,50,+91 9859871790,8,9.2,79.61,True,2026-07-31T19:24:43.008342+00:00
4c18ac31-50e2-4083-9f69-19bfbcfcbead,hyderabad,Hyderabad Children Hospital,17.518851,78.614211,Banjara Hills,Multi-speciality,True,True,2,523,20,+91 9830401681,15,8.8,66.43,True,2026-07-31T19:24:43.008353+00:00
f8bf6d3e-a857-4d63-8dd8-91371bd0f616,hyderabad,Hyderabad Private Hospital,17.368889,78.556727,Begumpet,Trauma Center,True,False,10,140,18,+91 9894715890,16,9.5,88.68,True,2026-07-31T19:24:43.008363+00:00
54c063c1-3dd4-4385-893e-7f8786e0ff5a,hyderabad,Hyderabad Government Hospital,17.330394,78.513495,LB Nagar,Children,True,False,15,180,22,+91 9869827327,16,8.5,67.38,True,2026-07-31T19:24:43.008373+00:00
d8e5c953-001f-4f1b-881d-9cd7bd6be047,hyderabad,Hyderabad Children Hospital,17.383477,78.348164,Secunderabad,Trauma Center,True,False,10,166,20,+91 9843361474,5,7.7,78.47,True,2026-07-31T19:24:43.008382+00:00
52647338-7f87-4790-8fb9-3cf825b4fa0e,hyderabad,Hyderabad Medical College Hospital,17.500771,78.33107,Secunderabad,Emergency Hospital,True,True,2,60,18,+91 9827939790,5,8.5,97.38,True,2026-07-31T19:24:43.008392+00:00
ab34a7e6-2eaa-42c5-8714-3ef2c4159d88,hyderabad,Hyderabad Trauma Center Hospital,17.45144,78.395844,Charminar,Medical College,False,False,10,614,41,+91 9870986594,15,8.6,89.05,True,2026-07-31T19:24:43.008402+00:00
4a6f1abc-466e-4642-b246-83f5e63403ce,hyderabad,Hyderabad Private Hospital,17.599873,78.501707,Kukatpally,Private,True,False,17,305,30,+91 9873644245,8,9.8,63.42,True,2026-07-31T19:24:43.008412+00:00
949926a3-bcb9-4e37-a199-532247b3a8e8,hyderabad,Hyderabad Government Hospital,17.382314,78.418585,Begumpet,Private,True,False,11,147,50,+91 9816966335,23,9.4,65.37,True,2026-07-31T19:24:43.008422+00:00
49e89c54-a094-4209-b193-11551aa4deea,hyderabad,Hyderabad Children Hospital,17.335662,78.562168,Begumpet,Children,True,True,10,587,19,+91 9855639642,11,8.9,74.86,True,2026-07-31T19:24:43.008432+00:00
994b671a-0bfc-4b6f-a24e-f8e995c986fe,hyderabad,Hyderabad Medical College Hospital,17.221336,78.49126,Hitech City,Medical College,True,True,4,354,9,+91 9844512678,24,9.2,82.01,True,2026-07-31T19:24:43.008442+00:00
