id,city,station_name,latitude,longitude,area,jurisdiction,emergency_number,women_helpdesk,cyber_cell,patrol_units,average_response_time_min,officers_available,safety_rating,open_24x7,last_updated
2a4fa77a-99e3-42dd-ab5a-341f130ac942,hyderabad,Jubilee Hills Police Station,17.290112,78.415929,Jubilee Hills,Jubilee Hills Sub-Division,100,False,False,2,4,37,7.5,True,2026-07-31T19:24:43.013183+00:00
e8444f90-06a8-40d4-9b09-c73646172871,hyderabad,Jubilee Hills Police Station,17.309881,78.597946,Jubilee Hills,Jubilee Hills Sub-Division,100,False,True,4,12,12,7.6,True,2026-07-31T19:24:43.013201+00:00
f44b8d23-8566-4ed6-8efb-aa219b36ae39,hyderabad,Banjara Hills Police Station,17.22498,78.559161,Banjara Hills,Banjara Hills Sub-Division,100,True,False,13,4,11,6.3,True,2026-07-31T19:24:43.013210+00:00
a6c0810d-1de3-463e-95cd-c9939cf54292,hyderabad,Begumpet Police Station,17.319093,78.382688,Begumpet,Begumpet Sub-Division,100,True,True,7,10,19,8.5,True,2026-07-31T19:24:43.013218+00:00
58834bc3-6d6b-491b-a263-3f0147fd702b,hyderabad,Banjara Hills Police Station,17.58488,78.540436,Banjara Hills,Banjara Hills Sub-Division,100,True,True,14,14,41,8.9,True,2026-07-31T19:24:43.013227+00:00
9246b156-4c26-4d4d-848c-fcb1b2b71e72,hyderabad,Banjara Hills Police Station,17.309036,78.570962,Banjara Hills,Banjara Hills Sub-Division,100,True,True,7,10,22,8.6,True,2026-07-31T19:24:43.013234+00:00
b94c1f78-d2e5-4d12-9f80-eebbad7fd442,hyderabad,Secunderabad Police Station,17.340121,78.320586,Secunderabad,Secunderabad Sub-Division,100,True,False,6,8,39,9.2,True,2026-07-31T19:24:43.013244+00:00
47b98e71-2948-4ac2-b25b-de78e692fbb6,hyderabad,Banjara Hills Police Station,17.21266,78.377274,Banjara Hills,Banjara Hills Sub-Division,100,False,True,3,8,26,6.2,True,2026-07-31T19:24:43.013251+00:00
b2f314c1-2538-4d19-8726-cc654a7dce92,hyderabad,Banjara Hills Police Station,17.590314,78.528122,Banjara Hills,Banjara Hills Sub-Division,100,True,True,6,13,10,8.3,True,2026-07-31T19:24:43.013259+00:00
b1d5cbf6-c3db-4d8e-ae73-962e6b3c38bc,hyderabad,Banjara Hills Police Station,17.542688,78.421126,Banjara Hills,Banjara Hills Sub-Division,100,True,True,14,15,24,8.7,True,2026-07-31T19:24:43.013267+00:00
5663651c-c037-4e08-9db5-cd50d5ce3df9,hyderabad,Begumpet Police Station,17.30648,78.488966,Begumpet,Begumpet Sub-Division,100,False,True,3,6,16,8.6,True,2026-07-31T19:24:43.013277+00:00
883b63e8-6572-46ea-a00f-6d8d9b7d70b5,hyderabad,Kukatpally Police Station,17.466547,78.466657,Kukatpally,Kukatpally Sub-Division,100,True,True,12,6,13,8.4,True,2026-07-31T19:24:43.013284+00:00
7c18e041-ab51-4547-b4b0-b9c7d50c0cce,hyderabad,Banjara Hills Police Station,17.331182,78.582063,Banjara Hills,Banjara Hills Sub-Division,100,True,True,9,15,50,6.1,True,2026-07-31T19:24:43.013292+00:00
ca77bc01-83a0-43a3-a357-e4709fc23cee,hyderabad,Banjara Hills Police Station,17.513107,78.542017,Banjara Hills,Banjara Hills Sub-Division,100,True,True,6,8,41,9.3,True,2026-07-31T19:24:43.013299+00:00
8041f9fe-272c-44a3-a21a-a497c0495ac1,hyderabad,Kukatpally Police Station,17.277182,78.332521,Kukatpally,Kukatpally Sub-Division,112,True,True,3,6,41,7.6,True,2026-07-31T19:24:43.013307+00:00
7c0ce73c-d3a6-43a4-b9d3-13860638fa79,hyderabad,Begumpet Police Station,17.587654,78.39498,Begumpet,Begumpet Sub-Division,100,True,True,7,8,25,9.4,True,2026-07-31T19:24:43.013314+00:00
2c518dbf-1200-4c0e-9392-7ea84547cc29,hyderabad,Hitech City Police Station,17.359518,78.329076,Hitech City,Hitech City Sub-Division,100,False,False,14,7,44,6.9,True,2026-07-31T19:24:43.013322+00:00
fae74d31-4380-4196-9a1f-25873c3b42bb,hyderabad,Madhapur Police Station,17.344155,78.332186,Madhapur,Madhapur Sub-Division,112,False,False,5,14,47,7.0,True,2026-07-31T19:24:43.013330+00:00
446b517f-e35f-459f-9273-c9eb13d31c95,hyderabad,Charminar Police Station,17.537541,78.324247,Charminar,Charminar Sub-Division,100,False,False,9,14,47,7.1,True,2026-07-31T19:24:43.013338+00:00
75d4ed9e-242b-40a1-b9c2-79adb24ec2d2,hyderabad,Madhapur Police Station,17.397402,78.646687,Madhapur,Madhapur Sub-Division,100,True,True,5,14,48,9.0,True,2026-07-31T19:24:43.013345+00:00
2b0b1a6c-71b3-473c-b468-0b14187fdbf4,hyderabad,Ameerpet Police Station,17.560089,78.42657,Ameerpet,Ameerpet Sub-Division,112,False,True,3,5,25,6.6,True,2026-07-31T19:24:43.013353+00:00
d5caba7b-6b60-4726-ad2f-8a5924ebdd73,hyderabad,Hitech City Police Station,17.517105,78.49272,Hitech City,Hitech City Sub-Division,100,False,True,12,11,22,9.3,True,2026-07-31T19:24:43.013360+00:00
e54d20f3-1b80-4ceb-815d-cd9a48f53dcc,hyderabad,Ameerpet Police Station,17.506944,78.331956,Ameerpet,Ameerpet Sub-Division,100,True,False,15,13,49,6.0,True,2026-07-31T19:24:43.013368+00:00
dd8b4b7a-1099-47f7-a9c6-23d066c79a56,hyderabad,Charminar Police Station,17.484071,78.331139,Charminar,Charminar Sub-Division,112,False,True,6,9,41,7.7,True,2026-07-31T19:24:43.013375+00:00
953b1c0f-c6c5-4eee-a184-27f625c9e9e4,hyderabad,Secunderabad Police Station,17.319829,78.475785,Secunderabad,Secunderabad Sub-Division,100,True,True,4,11,22,6.5,True,2026-07-31T19:24:43.013383+00:00
981405ad-eac7-4088-9188-8c5e1ea8255f,hyderabad,Gachibowli Police Station,17.202107,78.383945,Gachibowli,Gachibowli Sub-Division,100,True,False,3,5,16,7.6,True,2026-07-31T19:24:43.013390+00:00
19dba1c8-5040-46be-867b-8749e1be4387,hyderabad,Gachibowli Police Station,17.207227,78.316621,Gachibowli,Gachibowli Sub-Division,100,True,True,7,4,15,7.2,True,2026-07-31T19:24:43.013397+00:00
3ecd8327-095d-48bd-aeb9-2b20f3768471,hyderabad,Kukatpally Police Station,17.42215,78.379417,Kukatpally,Kukatpally Sub-Division,100,False,True,11,10,32,9.4,True,2026-07-31T19:24:43.013405+00:00
2f298a03-ab0e-4617-9c57-a6b68e6b2b9f,hyderabad,Charminar Police Station,17.205953,78.369488,Charminar,Charminar Sub-Division,100,False,True,11,12,26,9.3,True,2026-07-31T19:24:43.013412+00:00
25158ea1-3c0e-4909-8d92-858d17a2da5d,hyderabad,Gachibowli Police Station,17.249959,78.559075,Gachibowli,Gachibowli Sub-Division,112,False,False,5,10,50,9.2,True,2026-07-31T19:24:43.013419+00:00
78366361-a2ec-403b-a612-722849092eeb,hyderabad,Madhapur Police Station,17.252769,78.347614,Madhapur,Madhapur Sub-Division,100,True,True,8,8,38,7.6,True,2026-07-31T19:24:43.013427+00:00
b302e814-9913-45c4-990b-a61c8fd7c0b7,hyderabad,Secunderabad Police Station,17.444483,78.424069,Secunderabad,Secunderabad Sub-Division,100,True,True,5,12,42,8.9,True,2026-07-31T19:24:43.013435+00:00
fc599614-5633-435c-87e8-9be6091489eb,hyderabad,Begumpet Police Station,17.593614,78.649022,Begumpet,Begumpet Sub-Division,112,False,False,7,6,21,8.8,True,2026-07-31T19:24:43.013446+00:00
960ab903-79c1-4bd4-8854-34734b6aba2a,hyderabad,Jubilee Hills Police Station,17.531972,78.45538,Jubilee Hills,Jubilee Hills Sub-Division,100,True,True,9,6,34,7.4,True,2026-07-31T19:24:43.013454+00:00
a3557dce-d2bd-4105-a23d-839a36205a08,hyderabad,Madhapur Police Station,17.248975,78.609007,Madhapur,Madhapur Sub-Division,100,True,True,9,8,25,9.4,True,2026-07-31T19:24:43.013462+00:00
347c20c1-8cf5-4592-8297-0799b0af9fd8,hyderabad,Charminar Police Station,17.257813,78.492135,Charminar,Charminar Sub-Division,112,True,True,6,14,13,7.4,True,2026-07-31T19:24:43.013469+00:00
5be46338-0bac-4d8a-8a34-8816dde1fe80,hyderabad,Madhapur Police Station,17.323381,78.558942,Madhapur,Madhapur Sub-Division,100,True,False,14,9,11,6.0,True,2026-07-31T19:24:43.013477+00:00
